41316	10	1971 Dec 31
41498	11	1972 Jun 30
41682	12	1972 Dec 31
42047	13	1973 Dec 31
42412	14	1974 Dec 31
42777	15	1975 Dec 31
43143	16	1976 Dec 31
43508	17	1977 Dec 31
43873	18	1978 Dec 31
44238	19	1979 Dec 31
44785	20	1981 Jun 30
45150	21	1982 Jun 30
45515	22	1983 Jun 30
46246	23	1985 Jun 30
47160	24	1987 Dec 31
47891	25	1989 Dec 31
48256	26	1990 Dec 31
48803	27	1992 Jun 30
49168	28	1993 Jun 30
49533	29	1994 Jun 30
50082	30	1995 Dec 31
50629	31	1997 Jun 30
51178	32	1998 Dec 31
53735	33	2005 Dec 31
54831	34	2008 Dec 31
56108	35	2012 Jun 30
